blue_adc,blue_sup,red_adc,red_sup,games,blue_winrate
Corki,Nami,Yunara,Lulu,66,0.5758
Yunara,Lulu,Corki,Nami,49,0.5102
Ashe,Seraphine,Lucian,Milio,33,0.5455
Ezreal,Karma,Ashe,Seraphine,33,0.5455
Ashe,Seraphine,Ezreal,Karma,28,0.5357
Lucian,Milio,Ashe,Seraphine,28,0.5714
Lucian,Milio,Yunara,Lulu,27,0.5556
Yunara,Lulu,Lucian,Milio,27,0.5556
Ashe,Seraphine,Corki,Nami,26,0.7308
Ashe,Seraphine,Yunara,Lulu,22,0.6818
Caitlyn,Bard,Ashe,Seraphine,20,0.75
Corki,Nami,Ashe,Seraphine,20,0.3
Yunara,Lulu,Ashe,Seraphine,20,0.55
Corki,Nami,Lucian,Milio,19,0.3684
Ashe,Seraphine,Caitlyn,Bard,16,0.375
Ezreal,Bard,Ashe,Seraphine,16,0.5
Lucian,Milio,Corki,Nami,16,0.6875
Ashe,Seraphine,Ezreal,Bard,15,0.6
Ezreal,Neeko,Yunara,Lulu,15,0.5333
Aphelios,Thresh,Yunara,Lulu,14,0.7857
Lucian,Milio,Caitlyn,Bard,14,0.4286
Zeri,Yuumi,Ashe,Seraphine,14,0.3571
Ashe,Seraphine,Ezreal,Neeko,13,0.6154
Lucian,Milio,Xayah,Rakan,13,0.6923
Yunara,Lulu,Caitlyn,Bard,12,0.3333
Yunara,Lulu,Ezreal,Karma,12,0.3333
Caitlyn,Bard,Lucian,Milio,11,0.6364
Caitlyn,Bard,Yunara,Lulu,11,0.8182
Lucian,Nami,Yunara,Lulu,11,0.6364
Xayah,Rakan,Lucian,Milio,11,0.9091
Yunara,Lulu,Lucian,Nami,11,0.7273
Caitlyn,Karma,Ezreal,Bard,10,0.8
Ezreal,Bard,Sivir,Karma,10,0.4
Ezreal,Karma,Corki,Nami,10,0.6
Jhin,Bard,Ashe,Seraphine,10,0.5
Ashe,Lulu,Ezreal,Seraphine,9,0.4444
Ashe,Seraphine,Miss Fortune,Nautilus,9,0.5556
Caitlyn,Bard,Ezreal,Neeko,9,0.5556
Corki,Nami,Ezreal,Karma,9,0.4444
Ezreal,Bard,Yunara,Lulu,9,0.8889
Ezreal,Nami,Ashe,Seraphine,9,0.5556
