champion_1,champion_2,games,winrate
Ashe,Seraphine,682,0.5601
Lulu,Yunara,591,0.4602
Corki,Nami,446,0.4821
Lucian,Milio,419,0.537
Ezreal,Karma,315,0.5143
Bard,Ezreal,260,0.5346
Bard,Caitlyn,259,0.6255
Ezreal,Neeko,196,0.4592
Rakan,Xayah,195,0.5897
Bard,Jhin,181,0.5193
Lucian,Nami,165,0.5636
Kai'Sa,Neeko,164,0.5549
Nautilus,Yunara,142,0.5775
Nautilus,Varus,140,0.4857
Ezreal,Nautilus,138,0.471
Caitlyn,Karma,137,0.4307
Jhin,Karma,127,0.4488
Alistar,Varus,125,0.6
Kai'Sa,Nautilus,125,0.512
Karma,Sivir,118,0.5508
Ezreal,Leona,116,0.4914
Corki,Nautilus,109,0.3945
Caitlyn,Neeko,108,0.5
Ezreal,Nami,103,0.466
Alistar,Yunara,93,0.6344
Aphelios,Thresh,92,0.4891
Jhin,Nautilus,91,0.4396
Kalista,Renata Glasc,90,0.4778
Bard,Sivir,89,0.618
Neeko,Yunara,89,0.5169
Aphelios,Lulu,87,0.5402
Alistar,Ezreal,81,0.4815
Jhin,Neeko,81,0.4691
Neeko,Varus,81,0.4074
Bard,Varus,80,0.6125
Nautilus,Senna,80,0.4
Rakan,Varus,80,0.5375
Ezreal,Rell,79,0.481
Kai'Sa,Rell,77,0.4416
Miss Fortune,Nautilus,75,0.4533
Karma,Varus,73,0.3836
Lulu,Sivir,72,0.4583
Alistar,Sivir,70,0.4571
Ezreal,Rakan,69,0.4638
Karma,Yunara,69,0.4783
Ezreal,Seraphine,67,0.4179
Corki,Rell,65,0.5077
Corki,Rakan,64,0.4531
Bard,Corki,63,0.5397
Corki,Neeko,63,0.5238
Rell,Yunara,63,0.5873
Rell,Varus,62,0.4516
Alistar,Corki,61,0.5738
Ashe,Lulu,61,0.541
Nautilus,Sivir,61,0.4754
Alistar,Jhin,60,0.5167
Neeko,Sivir,59,0.4746
Alistar,Kai'Sa,58,0.569
Bard,Yunara,56,0.4821
Rakan,Yunara,53,0.5283
Kai'Sa,Rakan,52,0.5962
Jhin,Rell,50,0.32
Rakan,Sivir,50,0.48
Corki,Leona,49,0.4694
Braum,Yunara,48,0.5
Leona,Varus,47,0.4043
Miss Fortune,Rell,46,0.4783
Caitlyn,Nami,45,0.5778
Braum,Lucian,43,0.5116
Rell,Sivir,43,0.4884
Camille,Ziggs,41,0.5854
Jhin,Rakan,40,0.4
Yuumi,Zeri,40,0.425
Kai'Sa,Leona,39,0.4103
Caitlyn,Lux,38,0.6579
Leona,Sivir,37,0.4865
Braum,Ezreal,36,0.4167
Nami,Yunara,36,0.6111
Caitlyn,Nautilus,35,0.5143
Nautilus,Ziggs,35,0.5143
Jhin,Leona,33,0.5152
Leona,Yunara,33,0.6061
Anivia,Ezreal,31,0.6129
Caitlyn,Elise,31,0.5484
Corki,Karma,31,0.3548
Ashe,Braum,30,0.4333
Lulu,Zeri,29,0.2414
Mel,Nautilus,28,0.5714
Aphelios,Milio,26,0.5
Lulu,Tristana,26,0.4231
Rell,Ziggs,26,0.4231
Bard,Miss Fortune,25,0.48
Braum,Sivir,25,0.36
Mel,Pyke,25,0.48
Jinx,Nautilus,24,0.4583
Braum,Corki,23,0.4348
Miss Fortune,Neeko,23,0.3913
Aphelios,Nautilus,22,0.5
Braum,Varus,22,0.5
Leona,Ziggs,22,0.4091
Miss Fortune,Seraphine,22,0.4545
Alistar,Senna,21,0.619
Nautilus,Xayah,21,0.381
Alistar,Aphelios,20,0.5
Jhin,Seraphine,20,0.35
Aphelios,Rakan,19,0.3684
Ezreal,Pyke,19,0.5789
Jinx,Lulu,19,0.4737
Kog'Maw,Lulu,19,0.4211
Pyke,Ziggs,19,0.5263
Aphelios,Braum,18,0.3333
Ashe,Karma,18,0.5556
Bard,Kai'Sa,18,0.6667
Camille,Jhin,18,0.5556
Ezreal,Poppy,18,0.2778
Pyke,Yunara,18,0.5
Alistar,Caitlyn,17,0.4706
Anivia,Caitlyn,17,0.6471
Aphelios,Rell,17,0.5294
Ashe,Nautilus,17,0.4118
Braum,Caitlyn,17,0.4706
Caitlyn,Leona,17,0.4706
Caitlyn,Seraphine,17,0.4118
Jinx,Thresh,17,0.4118
Karma,Smolder,17,0.3529
Lulu,Xayah,17,0.5294
Senna,Seraphine,17,0.5294
Alistar,Xayah,16,0.6875
Braum,Jinx,16,0.3125
Leona,Miss Fortune,16,0.375
Lucian,Yuumi,16,0.5
Milio,Yunara,16,0.5625
Miss Fortune,Rakan,16,0.5
Rell,Xayah,16,0.5625
Renata Glasc,Varus,16,0.3125
Seraphine,Sivir,16,0.625
Jhin,Pyke,15,0.2667
Kai'Sa,Pyke,15,0.6
Poppy,Sivir,15,0.6667
Alistar,Ziggs,14,0.3571
Anivia,Jhin,14,0.3571
Aphelios,Neeko,14,0.4286
Camille,Mel,14,0.5714
Lulu,Varus,14,0.4286
Mel,Rell,14,0.2857
Nautilus,Smolder,14,0.5
Nautilus,Tristana,14,0.4286
Ashe,Milio,13,0.6154
Ashe,Neeko,13,0.4615
Bard,Xayah,13,0.4615
Kai'Sa,Poppy,13,0.5385
Poppy,Varus,13,0.6154
Rell,Tristana,13,0.3846
Alistar,Miss Fortune,12,0.6667
Alistar,Tristana,12,0.25
Anivia,Varus,12,0.5833
Bard,Smolder,12,0.1667
Caitlyn,Rell,12,0.4167
Camille,Ezreal,12,0.4167
