champion_1,champion_2,games,winrate
Seraphine,Xin Zhao,205,0.5366
Karma,Xin Zhao,183,0.4754
Bard,Jarvan IV,171,0.6257
Bard,Xin Zhao,169,0.5444
Jarvan IV,Nautilus,152,0.4605
Lulu,Xin Zhao,149,0.4094
Nautilus,Xin Zhao,141,0.4894
Nautilus,Vi,135,0.5037
Bard,Pantheon,131,0.542
Nautilus,Wukong,127,0.4488
Neeko,Nocturne,125,0.544
Nami,Xin Zhao,121,0.4876
Jarvan IV,Lulu,119,0.521
Nami,Pantheon,114,0.4912
Nautilus,Pantheon,114,0.4561
Jarvan IV,Neeko,113,0.5664
Rakan,Wukong,113,0.5221
Jarvan IV,Nami,111,0.4685
Jarvan IV,Karma,105,0.4952
Jarvan IV,Seraphine,105,0.5714
Lulu,Vi,103,0.4563
Bard,Vi,102,0.4902
Neeko,Pantheon,102,0.4118
Lulu,Wukong,99,0.3939
Karma,Wukong,97,0.4433
Lulu,Pantheon,97,0.4845
Rakan,Vi,96,0.5104
Jarvan IV,Rakan,95,0.5053
Karma,Pantheon,95,0.5053
Alistar,Vi,94,0.5532
Neeko,Vi,93,0.5699
Jarvan IV,Rell,90,0.4667
Neeko,Xin Zhao,89,0.3034
Neeko,Wukong,86,0.3953
Lee Sin,Nautilus,85,0.4706
Seraphine,Wukong,78,0.5513
Alistar,Jarvan IV,77,0.6623
Alistar,Wukong,77,0.4416
Nami,Wukong,77,0.3766
Alistar,Xin Zhao,76,0.4605
Bard,Wukong,75,0.4667
Pantheon,Seraphine,75,0.5333
Nami,Vi,74,0.5135
Milio,Xin Zhao,72,0.5556
Alistar,Pantheon,71,0.5493
Lulu,Nocturne,69,0.5507
Rakan,Xin Zhao,69,0.5507
Rell,Xin Zhao,67,0.3731
Karma,Vi,66,0.5606
Bard,Nocturne,65,0.6615
Nautilus,Nocturne,65,0.4769
Rell,Wukong,64,0.3438
Rell,Vi,62,0.4516
Leona,Xin Zhao,60,0.5167
Jarvan IV,Leona,57,0.5614
Nocturne,Rakan,57,0.5614
Bard,Naafiri,55,0.5636
Milio,Wukong,55,0.4727
Dr. Mundo,Karma,54,0.463
Seraphine,Vi,52,0.5577
Dr. Mundo,Nami,50,0.46
Nocturne,Rell,50,0.54
Pantheon,Rakan,50,0.52
Milio,Vi,49,0.5714
Pantheon,Rell,49,0.4286
Braum,Jarvan IV,48,0.4375
Jarvan IV,Milio,48,0.5208
Braum,Xin Zhao,47,0.5532
Naafiri,Nautilus,47,0.617
Bard,Skarner,46,0.5217
Leona,Wukong,46,0.3696
Lulu,Skarner,46,0.413
Nami,Nocturne,46,0.5435
Nocturne,Seraphine,46,0.5217
Aatrox,Bard,43,0.5814
Lee Sin,Neeko,43,0.6047
Braum,Wukong,42,0.3095
Karma,Naafiri,42,0.3571
Karma,Nocturne,42,0.4048
Naafiri,Neeko,42,0.4762
Alistar,Nocturne,41,0.5122
