blue_jungle,blue_support,red_jungle,red_support,games,blue_winrate
Xin Zhao,Bard,Vi,Nautilus,7,0.7143
Jarvan IV,Nami,Xin Zhao,Lulu,6,0.3333
Jarvan IV,Seraphine,Xin Zhao,Bard,6,0.5
Xin Zhao,Nami,Jarvan IV,Lulu,6,0.6667
Jarvan IV,Bard,Pantheon,Neeko,5,1.0
Jarvan IV,Lulu,Xin Zhao,Nami,5,0.6
Pantheon,Nami,Xin Zhao,Lulu,5,0.8
Pantheon,Nautilus,Xin Zhao,Seraphine,5,0.4
Vi,Neeko,Xin Zhao,Bard,5,0.4
Wukong,Lulu,Xin Zhao,Seraphine,5,0.2
Wukong,Seraphine,Xin Zhao,Milio,5,0.6
Xin Zhao,Bard,Jarvan IV,Nautilus,5,0.6
Jarvan IV,Bard,Xin Zhao,Seraphine,4,0.75
Jarvan IV,Lulu,Pantheon,Neeko,4,0.5
Jarvan IV,Lulu,Wukong,Rakan,4,0.75
Jarvan IV,Rakan,Xin Zhao,Lulu,4,1.0
Nocturne,Karma,Jarvan IV,Bard,4,0.5
Nocturne,Lulu,Pantheon,Nami,4,1.0
Pantheon,Bard,Jarvan IV,Seraphine,4,0.75
Pantheon,Bard,Xin Zhao,Karma,4,0.5
Pantheon,Bard,Xin Zhao,Seraphine,4,1.0
Pantheon,Karma,Vi,Bard,4,0.25
Pantheon,Karma,Xin Zhao,Bard,4,0.0
Pantheon,Lulu,Xin Zhao,Nami,4,0.75
Vi,Karma,Xin Zhao,Nami,4,0.25
Vi,Rell,Xin Zhao,Nautilus,4,0.25
Wukong,Karma,Xin Zhao,Seraphine,4,0.25
Wukong,Lulu,Xin Zhao,Nami,4,0.25
Wukong,Nautilus,Jarvan IV,Rell,4,0.5
Wukong,Rakan,Xin Zhao,Karma,4,0.25
Xin Zhao,Karma,Jarvan IV,Bard,4,0.25
Xin Zhao,Karma,Jarvan IV,Seraphine,4,0.5
Xin Zhao,Karma,Pantheon,Bard,4,0.5
Xin Zhao,Lulu,Dr. Mundo,Nami,4,0.5
Xin Zhao,Nami,Pantheon,Lulu,4,0.75
Xin Zhao,Rell,Jarvan IV,Nautilus,4,0.75
Xin Zhao,Rell,Jarvan IV,Rakan,4,0.5
Xin Zhao,Seraphine,Dr. Mundo,Karma,4,0.75
Xin Zhao,Seraphine,Jarvan IV,Nautilus,4,0.5
Xin Zhao,Seraphine,Jarvan IV,Neeko,4,0.75
Aatrox,Lulu,Xin Zhao,Seraphine,3,0.6667
Jarvan IV,Alistar,Xin Zhao,Rakan,3,0.3333
Jarvan IV,Bard,Lee Sin,Nautilus,3,0.3333
Jarvan IV,Bard,Pantheon,Nautilus,3,0.6667
Jarvan IV,Bard,Pantheon,Rakan,3,1.0
Jarvan IV,Bard,Vi,Alistar,3,0.3333
Jarvan IV,Bard,Wukong,Alistar,3,1.0
Jarvan IV,Bard,Xin Zhao,Nami,3,0.6667
Jarvan IV,Karma,Pantheon,Seraphine,3,0.3333
Jarvan IV,Karma,Xin Zhao,Nami,3,0.3333
Jarvan IV,Lulu,Xin Zhao,Seraphine,3,0.6667
Jarvan IV,Milio,Lee Sin,Lulu,3,0.6667
Jarvan IV,Milio,Xin Zhao,Lulu,3,0.6667
Jarvan IV,Nami,Pantheon,Lulu,3,0.6667
Jarvan IV,Nami,Xin Zhao,Bard,3,0.6667
Jarvan IV,Nautilus,Lee Sin,Rell,3,0.3333
Jarvan IV,Nautilus,Xin Zhao,Braum,3,0.6667
Jarvan IV,Neeko,Pantheon,Bard,3,0.3333
Jarvan IV,Rakan,Vi,Neeko,3,0.0
Jarvan IV,Seraphine,Lee Sin,Milio,3,0.6667
Jarvan IV,Seraphine,Naafiri,Milio,3,1.0
Jarvan IV,Seraphine,Xin Zhao,Lulu,3,0.3333
Lee Sin,Leona,Naafiri,Camille,3,0.6667
Lee Sin,Rell,Jarvan IV,Nautilus,3,0.3333
Naafiri,Bard,Jarvan IV,Karma,3,0.6667
Naafiri,Karma,Vi,Nautilus,3,0.3333
Nocturne,Bard,Pantheon,Neeko,3,0.6667
Nocturne,Karma,Pantheon,Seraphine,3,0.6667
Nocturne,Lulu,Xin Zhao,Seraphine,3,0.6667
Nocturne,Neeko,Pantheon,Bard,3,0.0
Nocturne,Neeko,Pantheon,Lulu,3,0.3333
Nocturne,Neeko,Vi,Nautilus,3,1.0
Nocturne,Neeko,Wukong,Rakan,3,0.6667
Nocturne,Neeko,Xin Zhao,Alistar,3,0.3333
Pantheon,Alistar,Xin Zhao,Nautilus,3,0.3333
Pantheon,Bard,Nocturne,Neeko,3,0.3333
Pantheon,Karma,Jarvan IV,Bard,3,0.0
Pantheon,Karma,Xin Zhao,Nami,3,0.3333
Pantheon,Lulu,Jarvan IV,Nami,3,0.0
Pantheon,Lulu,Vi,Seraphine,3,0.6667
Pantheon,Lulu,Xin Zhao,Karma,3,0.6667
Pantheon,Nami,Jarvan IV,Neeko,3,0.3333
Pantheon,Nami,Nocturne,Bard,3,0.6667
Pantheon,Nami,Nocturne,Lulu,3,0.6667
Pantheon,Nautilus,Jarvan IV,Braum,3,0.0
Pantheon,Seraphine,Skarner,Bard,3,0.3333
Skarner,Karma,Pantheon,Nautilus,3,1.0
Vi,Alistar,Xin Zhao,Rakan,3,0.0
Vi,Bard,Jarvan IV,Karma,3,0.6667
Vi,Bard,Xin Zhao,Seraphine,3,0.3333
Vi,Lulu,Jarvan IV,Nami,3,0.6667
Vi,Nautilus,Jarvan IV,Rell,3,0.0
Vi,Nautilus,Pantheon,Alistar,3,0.3333
Vi,Nautilus,Xin Zhao,Leona,3,0.0
Vi,Neeko,Xin Zhao,Nautilus,3,0.6667
Vi,Rakan,Xin Zhao,Lulu,3,1.0
Vi,Rell,Jarvan IV,Nautilus,3,1.0
Vi,Rell,Pantheon,Nautilus,3,0.3333
Wukong,Karma,Xin Zhao,Neeko,3,1.0
Wukong,Lulu,Vi,Nami,3,0.6667
Wukong,Lulu,Xin Zhao,Karma,3,0.0
Wukong,Neeko,Nocturne,Bard,3,0.3333
Wukong,Neeko,Pantheon,Bard,3,0.6667
Xin Zhao,Alistar,Wukong,Rell,3,1.0
Xin Zhao,Bard,Jarvan IV,Rell,3,0.6667
Xin Zhao,Bard,Trundle,Karma,3,0.6667
