champion,role,games,winrate_brut,wilson_lower_bound,pick_rate,ban_rate,presence_score,trend
Ashe,BOTTOM,918,0.557734,0.525431,0.078234,0.133799,0.212033,hausse (+0.020)
Caitlyn,BOTTOM,795,0.547170,0.512424,0.067752,0.158173,0.225925,baisse (-0.036)
Lucian,BOTTOM,716,0.543296,0.506675,0.061019,0.096813,0.157832,stable (+0.001)
Xayah,BOTTOM,336,0.547619,0.494159,0.028635,0.023521,0.052156,hausse (+0.020)
Kai'Sa,BOTTOM,604,0.529801,0.489934,0.051474,0.063065,0.114539,stable (+0.000)
Syndra,BOTTOM,20,0.700000,0.481023,0.001704,0.098006,0.099710,hausse (+0.020)
Yunara,BOTTOM,1375,0.505455,0.479049,0.117181,0.110619,0.227800,stable (+0.001)
Ezreal,BOTTOM,1595,0.486520,0.462053,0.135930,0.156127,0.292057,hausse (+0.098)
Sivir,BOTTOM,713,0.497896,0.461305,0.060764,0.070564,0.131328,stable (+0.000)
Varus,BOTTOM,831,0.489771,0.455908,0.070820,0.457815,0.528635,hausse (+0.058)
Corki,BOTTOM,1020,0.478431,0.447913,0.086927,0.056588,0.143515,stable (+0.000)
Seraphine,BOTTOM,38,0.605263,0.447176,0.003238,0.115221,0.118459,stable (+0.000)
Aphelios,BOTTOM,367,0.479564,0.428928,0.031277,0.042952,0.074229,stable (+0.000)
Senna,BOTTOM,157,0.490446,0.413415,0.013380,0.007840,0.021220,baisse (-0.034)
Miss Fortune,BOTTOM,275,0.469091,0.410940,0.023436,0.018408,0.041844,stable (+0.000)
Taliyah,BOTTOM,8,0.750000,0.409270,0.000682,0.074996,0.075678,stable (+0.000)
Viktor,BOTTOM,8,0.750000,0.409270,0.000682,0.065280,0.065962,stable (+0.000)
Jhin,BOTTOM,783,0.443167,0.408733,0.066729,0.038009,0.104738,baisse (-0.091)
Kalista,BOTTOM,143,0.482517,0.402150,0.012187,0.018067,0.030254,baisse (-0.017)
Ziggs,BOTTOM,205,0.468293,0.401196,0.017471,0.041077,0.058548,stable (+0.001)
Cassiopeia,BOTTOM,12,0.666667,0.390618,0.001023,0.114369,0.115391,stable (+0.000)
Mel,BOTTOM,127,0.472441,0.387702,0.010823,0.061190,0.072013,baisse (-0.017)
Jinx,BOTTOM,142,0.457746,0.377993,0.012102,0.005795,0.017897,stable (+0.000)
Zeri,BOTTOM,130,0.446154,0.363469,0.011079,0.005625,0.016704,stable (+0.001)
Draven,BOTTOM,35,0.514286,0.355685,0.002983,0.009204,0.012187,stable (+0.000)
Swain,BOTTOM,2,1.000000,0.342372,0.000170,0.003750,0.003920,stable (+0.000)
Vayne,BOTTOM,27,0.481481,0.307430,0.002301,0.083859,0.086160,stable (+0.000)
Smolder,BOTTOM,115,0.391304,0.307001,0.009801,0.015340,0.025141,stable (+0.000)
Samira,BOTTOM,15,0.533333,0.301166,0.001278,0.000852,0.002131,stable (+0.000)
Twitch,BOTTOM,6,0.666667,0.299988,0.000511,0.000341,0.000852,stable (+0.000)
Tristana,BOTTOM,119,0.378151,0.296122,0.010141,0.011931,0.022073,stable (+0.000)
Kog'Maw,BOTTOM,34,0.382353,0.239000,0.002898,0.004772,0.007670,stable (+0.000)
Hwei,BOTTOM,8,0.500000,0.215213,0.000682,0.016874,0.017556,stable (+0.001)
Sion,BOTTOM,3,0.666667,0.207655,0.000256,0.142151,0.142407,stable (+0.000)
Anivia,BOTTOM,1,1.000000,0.206543,0.000085,0.107210,0.107295,stable (+0.000)
Annie,BOTTOM,1,1.000000,0.206543,0.000085,0.075166,0.075251,stable (+0.000)
Heimerdinger,BOTTOM,1,1.000000,0.206543,0.000085,0.005625,0.005710,stable (+0.000)
Karthus,BOTTOM,1,1.000000,0.206543,0.000085,0.001193,0.001278,stable (+0.000)
Ryze,BOTTOM,1,1.000000,0.206543,0.000085,0.249531,0.249616,stable (+0.000)
Xerath,BOTTOM,1,1.000000,0.206543,0.000085,0.009034,0.009119,stable (+0.000)
Yasuo,BOTTOM,15,0.333333,0.151761,0.001278,0.019431,0.020709,stable (+0.000)
Lux,BOTTOM,4,0.500000,0.150036,0.000341,0.009545,0.009886,stable (+0.000)
Sylas,BOTTOM,2,0.500000,0.094529,0.000170,0.052667,0.052838,stable (+0.000)
Nilah,BOTTOM,3,0.333333,0.061490,0.000256,0.000000,0.000256,stable (+0.000)
Vel'Koz,BOTTOM,3,0.333333,0.061490,0.000256,0.000341,0.000597,stable (+0.000)
Vladimir,BOTTOM,3,0.333333,0.061490,0.000256,0.004602,0.004858,stable (+0.000)
Brand,BOTTOM,8,0.125000,0.022417,0.000682,0.000511,0.001193,stable (+0.000)
Tahm Kench,BOTTOM,2,0.000000,0.000000,0.000170,0.000852,0.001023,stable (+0.000)
