blue_champion,red_champion,role,games,blue_winrate
Aatrox,Akali,TOP,1,0.0
Aatrox,Ambessa,JUNGLE,2,1.0
Aatrox,Ambessa,TOP,21,0.7142857142857143
Aatrox,Aurora,TOP,1,0.0
Aatrox,Camille,TOP,4,0.75
Aatrox,Darius,TOP,1,1.0
Aatrox,Diana,JUNGLE,1,0.0
Aatrox,Dr. Mundo,JUNGLE,15,0.5333333333333333
Aatrox,Dr. Mundo,TOP,1,0.0
Aatrox,Gangplank,TOP,1,1.0
Aatrox,Gnar,TOP,7,0.42857142857142855
Aatrox,Gragas,TOP,2,0.5
Aatrox,Gwen,TOP,6,0.3333333333333333
Aatrox,Hecarim,JUNGLE,1,1.0
Aatrox,Jarvan IV,JUNGLE,23,0.6086956521739131
Aatrox,Jax,TOP,1,1.0
Aatrox,Jayce,TOP,3,0.6666666666666666
Aatrox,K'Sante,TOP,13,0.46153846153846156
Aatrox,Kennen,TOP,2,0.5
Aatrox,Kindred,JUNGLE,1,1.0
Aatrox,Lee Sin,JUNGLE,5,0.2
Aatrox,Malphite,TOP,1,1.0
Aatrox,Master Yi,JUNGLE,1,1.0
Aatrox,Naafiri,JUNGLE,7,0.7142857142857143
Aatrox,Nocturne,JUNGLE,16,0.5625
Aatrox,Ornn,TOP,6,0.6666666666666666
Aatrox,Pantheon,JUNGLE,14,0.42857142857142855
Aatrox,Poppy,JUNGLE,1,0.0
Aatrox,Poppy,TOP,1,0.0
Aatrox,Qiyana,JUNGLE,1,0.0
Aatrox,Renekton,TOP,19,0.42105263157894735
Aatrox,Rumble,TOP,10,0.7
Aatrox,Ryze,TOP,1,1.0
Aatrox,Sejuani,JUNGLE,4,0.0
Aatrox,Shen,TOP,1,1.0
Aatrox,Singed,TOP,1,1.0
Aatrox,Sion,TOP,27,0.5185185185185185
Aatrox,Skarner,JUNGLE,7,0.5714285714285714
Aatrox,Skarner,TOP,1,0.0
Aatrox,Sylas,MIDDLE,1,1.0
Aatrox,Talon,JUNGLE,1,1.0
Aatrox,Trundle,JUNGLE,2,0.5
Aatrox,Vayne,TOP,3,0.3333333333333333
Aatrox,Vi,JUNGLE,7,0.42857142857142855
Aatrox,Viego,JUNGLE,2,1.0
Aatrox,Volibear,TOP,2,0.5
Aatrox,Wukong,JUNGLE,21,0.6666666666666666
Aatrox,Xin Zhao,JUNGLE,23,0.6086956521739131
Aatrox,Yone,TOP,2,0.5
Aatrox,Yorick,TOP,4,0.5
Aatrox,Zaahen,JUNGLE,7,0.42857142857142855
Aatrox,Zaahen,TOP,4,0.5
Ahri,Akali,MIDDLE,15,0.7333333333333333
Ahri,Anivia,MIDDLE,8,0.5
Ahri,Annie,MIDDLE,15,0.5333333333333333
Ahri,Aurora,MIDDLE,81,0.5185185185185185
Ahri,Azir,MIDDLE,17,0.5882352941176471
Ahri,Brand,MIDDLE,1,1.0
Ahri,Cassiopeia,MIDDLE,13,0.46153846153846156
Ahri,Corki,MIDDLE,1,1.0
Ahri,Fiora,TOP,1,0.0
Ahri,Galio,MIDDLE,22,0.6818181818181818
Ahri,Hwei,MIDDLE,5,0.2
Ahri,Jayce,MIDDLE,3,0.6666666666666666
Ahri,Kog'Maw,MIDDLE,1,1.0
Ahri,LeBlanc,MIDDLE,15,0.6
Ahri,Lissandra,MIDDLE,13,0.6923076923076923
Ahri,Mel,MIDDLE,29,0.6206896551724138
Ahri,Neeko,MIDDLE,1,1.0
Ahri,Orianna,MIDDLE,25,0.52
Ahri,Ryze,MIDDLE,41,0.5121951219512195
Ahri,Seraphine,MIDDLE,1,0.0
Ahri,Sion,MIDDLE,3,0.3333333333333333
Ahri,Swain,MIDDLE,2,0.0
Ahri,Sylas,MIDDLE,38,0.631578947368421
Ahri,Syndra,MIDDLE,19,0.5263157894736842
Ahri,Taliyah,MIDDLE,39,0.6923076923076923
Ahri,Tristana,MIDDLE,2,0.5
Ahri,Twisted Fate,MIDDLE,6,0.5
Ahri,Veigar,MIDDLE,7,0.5714285714285714
Ahri,Vex,MIDDLE,1,1.0
Ahri,Viktor,MIDDLE,13,0.23076923076923078
Ahri,Vladimir,MIDDLE,1,1.0
