champion,role,patch,games,wins,winrate
Aatrox,BOTTOM,16.13,2,1,0.5
Aatrox,JUNGLE,16.13,243,149,0.6132
Aatrox,MIDDLE,16.13,15,6,0.4
Aatrox,TOP,16.13,382,189,0.4948
Aatrox,UTILITY,16.13,1,0,0.0
Ahri,BOTTOM,16.13,9,4,0.4444
Ahri,MIDDLE,16.13,841,424,0.5042
Ahri,TOP,16.13,48,30,0.625
Ahri,UTILITY,16.13,7,4,0.5714
Akali,BOTTOM,16.13,3,1,0.3333
Akali,MIDDLE,16.13,518,247,0.4768
Akali,TOP,16.13,188,97,0.516
Akali,UTILITY,16.13,1,0,0.0
Akshan,BOTTOM,16.13,22,10,0.4545
Akshan,MIDDLE,16.13,348,177,0.5086
Akshan,TOP,16.13,33,11,0.3333
Akshan,UTILITY,16.13,1,1,1.0
Alistar,TOP,16.13,2,1,0.5
Alistar,UTILITY,16.13,486,239,0.4918
Ambessa,BOTTOM,16.13,3,2,0.6667
Ambessa,JUNGLE,16.13,167,81,0.485
Ambessa,MIDDLE,16.13,89,46,0.5169
Ambessa,TOP,16.13,487,241,0.4949
Ambessa,UTILITY,16.13,1,0,0.0
Amumu,JUNGLE,16.13,39,13,0.3333
Amumu,TOP,16.13,2,1,0.5
Amumu,UTILITY,16.13,40,17,0.425
Anivia,BOTTOM,16.13,22,12,0.5455
Anivia,MIDDLE,16.13,217,108,0.4977
Anivia,TOP,16.13,170,89,0.5235
Anivia,UTILITY,16.13,47,18,0.383
Annie,BOTTOM,16.13,1,1,1.0
Annie,MIDDLE,16.13,141,67,0.4752
Annie,TOP,16.13,22,15,0.6818
Annie,UTILITY,16.13,25,12,0.48
Aphelios,BOTTOM,16.13,380,175,0.4605
Aphelios,MIDDLE,16.13,1,1,1.0
Aphelios,TOP,16.13,4,1,0.25
Ashe,BOTTOM,16.13,501,232,0.4631
Ashe,MIDDLE,16.13,6,2,0.3333
Ashe,TOP,16.13,4,2,0.5
Ashe,UTILITY,16.13,24,10,0.4167
AurelionSol,BOTTOM,16.13,120,67,0.5583
AurelionSol,MIDDLE,16.13,54,26,0.4815
AurelionSol,TOP,16.13,13,3,0.2308
AurelionSol,UTILITY,16.13,2,0,0.0
Aurora,BOTTOM,16.13,12,7,0.5833
Aurora,MIDDLE,16.13,284,121,0.4261
Aurora,TOP,16.13,153,84,0.549
Azir,BOTTOM,16.13,4,2,0.5
Azir,MIDDLE,16.13,108,49,0.4537
Azir,TOP,16.13,28,17,0.6071
Azir,UTILITY,16.13,1,1,1.0
Bard,MIDDLE,16.13,2,1,0.5
Bard,UTILITY,16.13,768,370,0.4818
Belveth,BOTTOM,16.13,1,0,0.0
Belveth,JUNGLE,16.13,274,142,0.5182
Belveth,TOP,16.13,3,1,0.3333
Belveth,UTILITY,16.13,2,1,0.5
Blitzcrank,UTILITY,16.13,415,213,0.5133
Brand,BOTTOM,16.13,166,80,0.4819
Brand,JUNGLE,16.13,29,13,0.4483
Brand,MIDDLE,16.13,53,32,0.6038
Brand,TOP,16.13,9,2,0.2222
Brand,UTILITY,16.13,58,31,0.5345
Braum,TOP,16.13,1,0,0.0
Braum,UTILITY,16.13,459,245,0.5338
Briar,BOTTOM,16.13,1,0,0.0
Briar,JUNGLE,16.13,168,94,0.5595
Briar,MIDDLE,16.13,5,5,1.0
Briar,TOP,16.13,9,4,0.4444
Briar,UTILITY,16.13,4,2,0.5
Caitlyn,BOTTOM,16.13,771,336,0.4358
Caitlyn,JUNGLE,16.13,1,0,0.0
Caitlyn,MIDDLE,16.13,6,4,0.6667
Caitlyn,TOP,16.13,7,3,0.4286
Caitlyn,UTILITY,16.13,1,0,0.0
Camille,BOTTOM,16.13,2,1,0.5
Camille,JUNGLE,16.13,7,2,0.2857
Camille,MIDDLE,16.13,7,1,0.1429
Camille,TOP,16.13,242,137,0.5661
Camille,UTILITY,16.13,653,308,0.4717
Cassiopeia,BOTTOM,16.13,88,42,0.4773
Cassiopeia,MIDDLE,16.13,221,115,0.5204
Cassiopeia,TOP,16.13,146,71,0.4863
Chogath,BOTTOM,16.13,8,5,0.625
Chogath,JUNGLE,16.13,48,24,0.5
Chogath,MIDDLE,16.13,59,33,0.5593
Chogath,TOP,16.13,198,107,0.5404
Chogath,UTILITY,16.13,4,1,0.25
Corki,BOTTOM,16.13,131,73,0.5573
Corki,MIDDLE,16.13,22,8,0.3636
Corki,TOP,16.13,15,8,0.5333
Darius,BOTTOM,16.13,5,3,0.6
Darius,JUNGLE,16.13,35,20,0.5714
Darius,MIDDLE,16.13,7,1,0.1429
Darius,TOP,16.13,514,254,0.4942
Darius,UTILITY,16.13,5,1,0.2
Diana,BOTTOM,16.13,4,4,1.0
Diana,JUNGLE,16.13,353,171,0.4844
Diana,MIDDLE,16.13,217,111,0.5115
Diana,TOP,16.13,22,8,0.3636
Diana,UTILITY,16.13,1,1,1.0
DrMundo,BOTTOM,16.13,2,1,0.5
DrMundo,JUNGLE,16.13,79,38,0.481
DrMundo,MIDDLE,16.13,13,6,0.4615
DrMundo,TOP,16.13,370,173,0.4676
Draven,BOTTOM,16.13,493,242,0.4909
Draven,MIDDLE,16.13,8,1,0.125
Draven,TOP,16.13,12,6,0.5
Ekko,BOTTOM,16.13,33,10,0.303
