gameid,side,patch,damage_sum,damage_mean,damage_std,toughness_sum,toughness_mean,toughness_std,control_sum,control_mean,control_std,mobility_sum,mobility_mean,mobility_std,utility_sum,utility_mean,utility_std,role_ARTILLERY_count,role_ASSASSIN_count,role_BATTLEMAGE_count,role_BURST_count,role_CATCHER_count,role_DIVER_count,role_ENCHANTER_count,role_FIGHTER_count,role_JUGGERNAUT_count,role_MAGE_count,role_MARKSMAN_count,role_SKIRMISHER_count,role_SPECIALIST_count,role_SUPPORT_count,role_TANK_count,role_VANGUARD_count,role_WARDEN_count,result
LOLTMNT05_171038,0,16.01,11.0,2.2,0.7483314773547882,8.0,1.6,0.8,9.0,1.8,0.7483314773547883,10.0,2.0,0.6324555320336759,5.0,1.0,0.0,0,1,0,1,0,1,0,2,0,2,1,0,1,1,3,1,0,0
LOLTMNT05_172024,0,16.01,11.0,2.2,0.7483314773547882,11.0,2.2,0.7483314773547882,9.0,1.8,0.7483314773547883,10.0,2.0,0.6324555320336759,6.0,1.2,0.4000000000000001,0,1,0,0,0,1,0,2,1,2,1,0,0,1,3,1,0,1
LOLTMNT05_171043,0,16.01,12.0,2.4,0.8,8.0,1.6,0.8,10.0,2.0,0.6324555320336759,9.0,1.8,0.7483314773547883,8.0,1.6,0.4898979485566356,1,2,0,1,0,1,0,2,0,2,0,1,0,2,1,1,0,0
LOLTMNT05_171043,1,16.01,12.0,2.4,0.4898979485566356,10.0,2.0,0.8944271909999159,12.0,2.4,0.8,8.0,1.6,0.4898979485566356,7.0,1.4,0.4898979485566356,0,0,0,1,1,1,0,2,0,2,1,1,0,1,3,0,2,1
LOLTMNT05_171051,0,16.01,12.0,2.4,0.8,9.0,1.8,0.9797958971132713,8.0,1.6,0.8,9.0,1.8,0.7483314773547883,6.0,1.2,0.4000000000000001,1,1,0,0,0,0,0,1,0,2,2,0,1,1,2,1,0,1
LOLTMNT05_171051,1,16.01,11.0,2.2,0.39999999999999997,10.0,2.0,0.8944271909999159,11.0,2.2,0.7483314773547882,9.0,1.8,0.4,6.0,1.2,0.7483314773547883,0,0,0,1,0,1,0,3,0,1,1,1,0,1,3,0,2,0
LOLTMNT05_171066,0,16.01,12.0,2.4,0.8,7.0,1.4,0.4898979485566356,9.0,1.8,0.7483314773547883,12.0,2.4,0.4898979485566356,9.0,1.8,0.7483314773547883,0,2,1,0,1,2,0,3,0,2,1,1,0,1,1,0,0,1
LOLTMNT05_171066,1,16.01,12.0,2.4,0.8,8.0,1.6,0.4898979485566356,11.0,2.2,0.7483314773547882,9.0,1.8,0.7483314773547883,7.0,1.4,0.8,0,0,1,1,2,1,0,2,0,3,1,0,0,2,1,0,0,0
LOLTMNT05_172032,0,16.01,11.0,2.2,0.7483314773547882,10.0,2.0,0.8944271909999159,12.0,2.4,0.4898979485566356,7.0,1.4,0.4898979485566356,5.0,1.0,0.0,0,0,1,0,0,1,0,2,0,1,1,0,0,1,3,2,0,0
LOLTMNT05_172032,1,16.01,11.0,2.2,0.7483314773547882,9.0,1.8,0.9797958971132713,10.0,2.0,0.8944271909999159,8.0,1.6,0.4898979485566356,7.0,1.4,1.019803902718557,0,0,0,1,1,0,0,2,1,2,1,1,0,1,2,0,1,1
LOLTMNT05_171070,0,16.01,12.0,2.4,0.8,11.0,2.2,0.9797958971132712,9.0,1.8,0.7483314773547883,9.0,1.8,0.4,7.0,1.4,0.4898979485566356,0,0,0,0,0,0,0,2,2,2,2,0,1,1,3,1,0,0
LOLTMNT05_171070,1,16.01,14.0,2.8,0.39999999999999997,9.0,1.8,0.7483314773547883,8.0,1.6,0.8,12.0,2.4,0.8,6.0,1.2,0.4000000000000001,0,3,0,0,0,0,0,3,0,1,1,1,0,0,1,0,1,1
LOLTMNT05_172033,0,16.01,14.0,2.8,0.39999999999999997,8.0,1.6,0.8,10.0,2.0,0.6324555320336759,7.0,1.4,0.4898979485566356,6.0,1.2,0.4000000000000001,0,0,0,1,0,0,0,3,1,3,1,1,0,0,2,0,1,1
LOLTMNT05_172033,1,16.01,12.0,2.4,0.8,10.0,2.0,0.8944271909999159,10.0,2.0,0.6324555320336759,10.0,2.0,0.0,9.0,1.8,0.4000000000000001,0,0,1,0,0,1,0,3,1,2,1,0,0,1,3,1,0,0
LOLTMNT03_335584,0,16.01,12.0,2.4,0.8,9.0,1.8,0.7483314773547883,10.0,2.0,0.6324555320336759,9.0,1.8,0.7483314773547883,8.0,1.6,0.4898979485566356,1,1,1,0,0,2,0,3,0,2,1,1,0,1,2,1,0,1
LOLTMNT03_335584,1,16.01,12.0,2.4,0.8,9.0,1.8,0.9797958971132713,12.0,2.4,0.8,6.0,1.2,0.4000000000000001,6.0,1.2,0.4000000000000001,1,0,1,0,1,0,0,2,0,2,2,0,0,1,2,2,0,0
LOLTMNT03_334607,0,16.01,11.0,2.2,0.7483314773547882,8.0,1.6,0.8,9.0,1.8,0.9797958971132713,12.0,2.4,0.4898979485566356,6.0,1.2,0.4,0,2,0,0,0,1,0,2,0,1,1,0,1,1,2,1,0,1
LOLTMNT03_334607,1,16.01,12.0,2.4,0.4898979485566356,7.0,1.4,0.4898979485566356,10.0,2.0,0.6324555320336759,9.0,1.8,0.7483314773547883,9.0,1.8,0.7483314773547883,0,0,1,0,0,2,1,2,0,2,1,0,0,2,2,0,0,0
LOLTMNT03_335630,0,16.01,12.0,2.4,0.4898979485566356,9.0,1.8,0.9797958971132713,10.0,2.0,0.6324555320336759,6.0,1.2,0.4000000000000001,8.0,1.6,0.8,0,0,0,0,0,0,1,2,1,2,2,0,1,1,2,1,0,0
LOLTMNT03_335630,1,16.01,10.0,2.0,0.6324555320336759,10.0,2.0,0.8944271909999159,11.0,2.2,0.7483314773547882,8.0,1.6,0.4898979485566356,6.0,1.2,0.7483314773547883,0,0,0,1,0,1,0,2,0,1,1,1,0,2,3,1,1,1
LOLTMNT03_334658,0,16.01,12.0,2.4,0.8,8.0,1.6,0.8,10.0,2.0,0.6324555320336759,9.0,1.8,0.7483314773547883,8.0,1.6,0.8,0,1,1,0,0,1,0,2,0,2,1,0,0,2,2,1,0,1
LOLTMNT03_334658,1,16.01,11.0,2.2,0.7483314773547882,9.0,1.8,0.7483314773547883,10.0,2.0,0.6324555320336759,10.0,2.0,0.6324555320336759,8.0,1.6,0.4898979485566356,0,1,1,0,0,1,0,3,1,1,1,0,0,1,3,0,1,0
LOLTMNT03_335649,0,16.01,11.0,2.2,0.7483314773547882,10.0,2.0,0.8944271909999159,11.0,2.2,0.9797958971132712,10.0,2.0,0.6324555320336759,5.0,1.0,0.6324555320336759,0,2,0,0,0,1,0,2,0,0,1,1,0,1,2,1,1,1
LOLTMNT03_335649,1,16.01,12.0,2.4,0.8,9.0,1.8,0.7483314773547883,11.0,2.2,0.39999999999999997,7.0,1.4,0.4898979485566356,7.0,1.4,0.4898979485566356,0,0,1,0,1,1,0,2,0,3,2,0,1,1,2,1,0,0
LOLTMNT03_334676,0,16.01,11.0,2.2,0.7483314773547882,7.0,1.4,0.8,8.0,1.6,0.8,9.0,1.8,0.7483314773547883,7.0,1.4,0.4898979485566356,0,1,1,0,0,0,1,3,1,2,1,0,1,1,2,0,0,0
LOLTMNT03_334676,1,16.01,13.0,2.6,0.4898979485566356,6.0,1.2,0.4,10.0,2.0,0.0,8.0,1.6,0.8,10.0,2.0,0.8944271909999159,0,1,1,0,0,1,1,2,0,2,1,1,0,2,1,0,0,1
LOLTMNT03_335767,0,16.01,12.0,2.4,0.4898979485566356,7.0,1.4,0.4898979485566356,9.0,1.8,0.4000000000000001,8.0,1.6,0.4898979485566356,8.0,1.6,1.2000000000000002,0,0,1,0,0,2,1,2,0,2,1,0,0,2,2,0,0,1
LOLTMNT03_335767,1,16.01,14.0,2.8,0.39999999999999997,7.0,1.4,0.4898979485566356,10.0,2.0,0.6324555320336759,8.0,1.6,0.8,5.0,1.0,0.0,0,1,0,2,2,2,0,2,0,3,1,1,0,1,1,0,0,0
LOLTMNT03_334841,1,16.01,12.0,2.4,0.8,9.0,1.8,0.9797958971132713,11.0,2.2,0.7483314773547882,9.0,1.8,0.7483314773547883,7.0,1.4,0.4898979485566356,0,1,1,0,0,0,0,3,0,2,1,0,0,1,2,2,0,0
